PENDAPATAN KEPALA KELUARGA,STATUS LAHAN TEMPAT TINGGAL,LUAS LAHAN TEMPAT TINGGAL (m2),LUAS LANTAI (m2),JENIS ATAP RUMAH,JENIS DINDING,JENIS LANTAI,IJAZAH TERAKHIR KEPALA KELUARGA,FASILITAS MCK,FASILITAS TEMPAT BUANG AIR BESAR,SUMBER PENERANGAN UTAMA,SUMBER AIR MINUM,BAHAN BAKAR UNTUK MEMASAK,TEMPAT PEMBUANGAN LIMBAH,KLASIFIKASI RTM
300000,milik sendiri,485,13,kayu jerami,kayu kualitas rendah,kayu,SMA,sendiri,jamban umum,listrik PLN,air isi ulang,gas LPG,sawah,RTM
750000,milik sendiri,74,98,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTHM
500000,milik sendiri,277,360,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTHM
1000000,milik sendiri,145,127,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
800000,milik sendiri,350,128,seng,beton,semen,SMP,MCK umum,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTM
980000,milik orang lain,54,129,seng,beton,semen,SMA,MCK umum,jamban bersama tetangga,listrik PLN,air isi ulang,gas LPG,lubang ditanah,RTSM
1000000,milik sendiri,150,841,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
500000,milik sendiri,17,130,seng,beton,semen,SMP,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
370000,milik sendiri,250,131,seng,beton,semen,SMP,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
1500000,milik sendiri,394,132,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
3500000,milik sendiri,370,842,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
7900000,milik sendiri,290,133,seng,kayu kualitas tinggi,kayu,SMA,sendiri,jamban sendiri,listrik PLN,air isi ulang,gas LPG,lubang ditanah,RTHM
1200000,milik sendiri,333,843,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTHM
1000000,milik sendiri,234,100,seng,kayu kualitas tinggi,semen,SMA,sendiri,jamban bersama tetangga,listrik PLN,mata air,gas LPG,lubang ditanah,RTM
450000,milik sendiri,656,176,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
600000,milik sendiri,657,102,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
1000000,milik sendiri,130,844,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
970000,milik sendiri,110,134,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
1000000,milik sendiri,274,135,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
150000,milik sendiri,108,136,seng,beton,semen,SMA,sendiri,jamban bersama tetangga,listrik PLN,mata air,gas LPG,lubang ditanah,RTM
7600000,milik sendiri,955,118,seng,kayu kualitas tinggi,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTHM
350000,milik sendiri,235,103,seng,kayu kualitas rendah,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTM
333000,milik orang lain,640,845,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
500000,milik sendiri,658,74,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
150000,milik sendiri,535,104,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
680000,milik sendiri,174,846,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
208300,milik sendiri,82,75,seng,beton,kayu,SMP,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
333000,milik sendiri,66,857,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
300000,milik sendiri,56,137,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
390000,milik sendiri,659,94,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
3000000,milik sendiri,310,215,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTHM
350000,milik sendiri,55,858,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
200000,milik sendiri,36,66,seng,kayu kualitas rendah,kayu,SMA,MCK umum,jamban umum,tidak ada,air isi ulang,kayu bakar,lubang ditanah,RTSM
2000000,milik sendiri,33,138,seng,kayu kualitas tinggi,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
2500000,milik sendiri,245,99,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
280000,milik sendiri,70,217,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
2000000,milik sendiri,89,218,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
700000,milik sendiri,1243,859,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
600000,milik sendiri,500,220,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
1500000,milik sendiri,660,753,seng,beton,keramik,SMA,sendiri,jamban sendiri,listrik PLN,air isi ulang,gas LPG,sawah,RTHM
500000,milik sendiri,384,139,seng,beton,semen,SMA,sendiri,sungai,listrik PLN,mata air,kayu bakar,sawah,RTM
300000,milik sendiri,62,860,seng,kayu kualitas rendah,kayu,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
550000,milik sendiri,550,73,seng,beton,keramik,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
700000,milik sendiri,700,208,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
210000,milik sendiri,210,868,seng,beton,tegel,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
420000,milik sendiri,410,52,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
820000,milik sendiri,810,223,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTHM
750000,milik sendiri,661,861,genteng,beton,tegel,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
350000,milik sendiri,662,141,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
450000,milik sendiri,663,142,seng,kayu kualitas rendah,semen,SMP,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTM
333000,milik sendiri,664,78,seng,kayu kualitas rendah,kayu,SMP,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTM
700000,milik sendiri,278,224,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
1000000,milik sendiri,279,209,kayu jerami,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
291000,milik sendiri,361,501,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTHM
216000,milik sendiri,400,70,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTHM
446000,milik sendiri,1262,88,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
2000000,milik sendiri,236,81,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
450000,milik orang lain,60,69,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTM
333000,milik orang lain,220,817,seng,beton,semen,SD,sendiri,jamban umum,listrik PLN,mata air,gas LPG,lubang ditanah,RTM
1000000,milik orang lain,77,34,seng,beton,semen,SMP,sendiri,jamban bersama tetangga,listrik PLN,mata air,gas LPG,sawah,RTM
560000,milik orang lain,280,210,seng,beton,semen,SMP,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTM
805000,milik sendiri,540,82,seng,beton,semen,SMP,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
666000,milik orang lain,230,862,seng,beton,semen,SMA,tidak ada,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTM
231000,milik orang lain,610,863,seng,beton,semen,SMA,tidak ada,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
500000,milik sendiri,76,89,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTHM
3000000,milik sendiri,80,46,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,kayu bakar,sawah,RTHM
500000,milik sendiri,387,145,seng,beton,semen,SMA,MCK umum,jamban sendiri,listrik PLN,mata air,kayu bakar,sawah,RTM
700000,milik orang lain,801,146,seng,kayu kualitas tinggi,kayu,SMA,sendiri,jamban bersama tetangga,tidak ada,mata air,gas LPG,instalasi pengelolaan limbah,RTM
333000,milik orang lain,87,147,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
666000,milik orang lain,1000,106,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,air isi ulang,gas LPG,lubang ditanah,RTM
350000,milik orang lain,960,216,seng,kayu kualitas rendah,kayu,SMP,sendiri,jamban bersama tetangga,listrik PLN,air isi ulang,gas LPG,lubang ditanah,RTM
970000,milik sendiri,93,61,seng,kayu kualitas rendah,kayu,SD,sendiri,jamban umum,tidak ada,air isi ulang,kayu bakar,lubang ditanah,RTSM
333000,milik sendiri,860,148,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTHM
450000,milik sendiri,560,86,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTHM
1000000,milik sendiri,122,64,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
1333000,milik sendiri,50,65,seng,beton,tanah,SD,berkelompok bersama tetangga,sungai,listrik PLN,mata air,gas LPG,sawah,RTM
2916000,milik sendiri,190,110,seng,beton,tanah,SD,berkelompok bersama tetangga,jamban bersama tetangga,tidak ada,mata air,kayu bakar,sawah,RTM
2000000,milik sendiri,760,79,seng,beton,semen,SMP,MCK umum,jamban umum,listrik PLN,mata air,kayu bakar,sawah,RTM
3166000,milik orang lain,231,184,seng,beton,semen,SMP,tidak ada,jamban sendiri,listrik PLN,air isi ulang,gas LPG,instalasi pengelolaan limbah,RTM
2916000,milik orang lain,232,149,seng,beton,semen,SMP,tidak ada,jamban sendiri,listrik PLN,air isi ulang,gas LPG,lubang ditanah,RTM
666000,milik sendiri,450,140,seng,beton,semen,SMP,tidak ada,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTM
2083000,milik sendiri,63,211,genteng,beton,tegel,SMA,tidak ada,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTHM
1333000,milik sendiri,388,120,seng,beton,semen,SMA,tidak ada,jamban sendiri,listrik PLN,mata air,gas LPG,sawah,RTM
666000,milik sendiri,368,60,seng,beton,tanah,SMA,berkelompok bersama tetangga,jamban sendiri,listrik non PLN,mata air,kayu bakar,lubang ditanah,RTM
1533000,milik sendiri,442,212,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTHM
1666000,milik sendiri,475,51,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTHM
375000,milik orang lain,72,47,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,kayu bakar,lubang ditanah,RTM
3583000,milik sendiri,291,372,seng,beton,semen,SMP,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTHM
2166000,milik sendiri,135,49,seng,beton,semen,SMP,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
2585000,milik sendiri,380,80,seng,beton,semen,SMP,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
1333000,milik orang lain,84,91,seng,beton,semen,SD,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTM
666000,milik sendiri,100,76,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,lubang ditanah,RTHM
666000,milik sendiri,20,23,seng,beton,semen,SMA,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
187000,milik sendiri,240,213,seng,beton,semen,SMP,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
1666000,milik sendiri,383,85,seng,beton,semen,SMP,sendiri,jamban sendiri,listrik PLN,mata air,gas LPG,instalasi pengelolaan limbah,RTHM
